Tag;client_id;msg_size;repetitions;client_count;Throughput_in_KiBi/second;bytes_received;delta_us
G;1;4;5000;1;0.08207;6500;77340
G;1;4;5000;1;0.11204;6500;56653
G;1;4;5000;1;0.10674;6500;59469
G;1;4;5000;1;0.10561;6500;60105
G;1;4;5000;1;0.09986;6500;63563
G;1;4;5000;1;0.10894;6500;58266
G;1;4;5000;1;0.10377;6500;61169
G;1;4;5000;1;0.10229;6500;62055
G;1;4;5000;1;0.10461;6500;60677
G;1;4;5000;1;0.09650;6500;65776
G;1;8;5000;1;0.10999;6500;57713
G;1;8;5000;1;0.11102;6500;57177
G;1;8;5000;1;0.10259;6500;61874
G;1;8;5000;1;0.10582;6500;59983
G;1;8;5000;1;0.11161;6500;56873
G;1;8;5000;1;0.10881;6500;58337
G;1;8;5000;1;0.11069;6500;57347
G;1;8;5000;1;0.10824;6500;58644
G;1;8;5000;1;0.10422;6500;60905
G;1;8;5000;1;0.11212;6540;56963
G;1;16;5000;1;0.12002;7500;61023
G;1;16;5000;1;0.12413;7500;59005
G;1;16;5000;1;0.12720;7500;57582
G;1;16;5000;1;0.13336;7500;54920
G;1;16;5000;1;0.12803;7500;57207
G;1;16;5000;1;0.11831;7500;61905
G;1;16;5000;1;0.12166;7500;60202
G;1;16;5000;1;0.12486;7500;58658
G;1;16;5000;1;0.12668;7500;57815
G;1;16;5000;1;0.13330;7980;58460
E;1;32;5000;1;0.24249;15500;62422
E;1;32;5000;1;0.24589;15500;61559
E;1;32;5000;1;0.24705;15500;61269
E;1;32;5000;1;0.25849;15500;58558
E;1;32;5000;1;0.26111;15500;57971
E;1;32;5000;1;0.25517;15500;59321
E;1;32;5000;1;0.26699;15500;56694
E;1;32;5000;1;0.24747;15500;61167
G;2;4;10000;2;0.06045;13000;210023
G;1;4;10000;2;0.19133;13000;66354
G;1;4;10000;2;0.18978;13000;66895
G;2;4;10000;2;0.18688;13000;67933
G;1;4;10000;2;0.18346;13000;69199
G;2;4;10000;2;0.17327;13000;73268
G;1;4;10000;2;0.18215;13000;69698
G;1;4;10000;2;0.19144;13000;66314
G;1;4;10000;2;0.18271;13000;69483
G;1;4;10000;2;0.18286;13000;69426
G;1;4;10000;2;0.19107;13000;66442
G;2;8;10000;2;0.18268;13000;69496
G;1;8;10000;2;0.17736;13000;71580
G;2;8;10000;2;0.18714;13000;67837
G;1;8;10000;2;0.18154;13000;69932
G;1;8;10000;2;0.18742;13000;67739
G;2;8;10000;2;0.17929;13000;70807
G;2;8;10000;2;0.18818;13000;67462
G;1;8;10000;2;0.18300;13000;69373
G;2;8;10000;2;0.18282;13040;69656
G;2;16;10000;2;0.22163;15000;66095
G;1;16;10000;2;0.18942;15000;77335
G;2;16;10000;2;0.20881;15000;70152
G;1;16;10000;2;0.18006;15000;81353
G;1;16;10000;2;0.15760;15000;92948
G;1;16;10000;2;0.20434;15000;71687
G;2;16;10000;2;0.20910;15000;70054
G;1;16;10000;2;0.21319;15000;68712
G;1;16;10000;2;0.21521;15000;68066
G;2;16;10000;2;0.22719;15640;67227
E;1;32;10000;2;0.45432;30840;66291
E;1;32;10000;2;0.45228;31000;66935
E;1;32;10000;2;0.46432;31000;65200
E;2;32;10000;2;0.42337;31000;71506
E;2;32;10000;2;0.44206;31000;68482
E;2;32;10000;2;0.42402;31000;71396
E;2;32;10000;2;0.43892;31000;68973
E;1;32;10000;2;0.45237;31000;66922
